,Regions,Cells [mm-3],Neurons [mm-3],Glia [mm-3],Excitatory [mm-3],Inhibitory [mm-3],Modulatory [mm-3],Astrocytes [mm-3],Oligodendrocytes [mm-3],Microglia [mm-3],acronym
0,root,232120.152427,149954.466494,82165.6859329,137352.601147,11751.9039555,849.961391779,12782.3832757,43770.289886,25613.0127711,
1,Basic cell groups and regions,243077.409164,167290.122862,75787.2863018,153231.404562,13110.4961563,948.222143583,12058.8739833,38918.9677175,24809.444601,grey
2,Cerebrum,160286.591302,94564.218697,65722.3726054,79759.1035206,14290.5852381,514.529938251,10005.3918716,32256.0186279,23460.9621059,CH
3,Cerebral cortex,170208.221215,102320.599224,67887.6219907,90968.0987891,10860.0040847,492.496350112,9855.05842346,31800.9045516,26231.6590157,CTX
4,Cortical plate,171331.519231,103259.813314,68071.7059175,91783.848364,10988.9043005,487.060649267,9882.18158728,31371.9491219,26817.5752083,CTXpl
5,Isocortex,161114.999621,83405.5518861,77709.4477353,72797.1251775,10090.7333809,517.693327662,9321.40251739,35394.9269466,32993.1182713,Isocortex
6,Frontal pole cerebral cortex,75406.1571628,46677.9188685,28728.2382943,9082.52490996,37317.7695402,277.62441833,736.966637747,9903.62015932,18087.6514972,FRP
7,Frontal pole layer 1,59618.0904523,34669.3467337,24948.7437186,0.0,34450.2512563,219.095477387,781.909547739,9465.32663317,14701.5075377,FRP1
8,Frontal pole layer 2/3,156524.77005,108377.602066,48147.1679845,55748.2652897,52050.9924157,578.344360174,506.051315152,12155.5591415,35485.5575278,FRP2/3
9,Somatomotor areas,141631.104154,65467.2625005,76163.8416532,55528.3165026,9297.86141737,641.084580448,10735.8182215,34700.1468515,30727.8765801,MO
10,Primary motor area,139973.711601,65189.4757822,74784.2358192,56924.5074833,7669.35499629,595.613302607,12345.8031705,37286.6933546,25151.7392941,MOp
11,Primary motor area Layer 1,78848.3786615,43282.367339,35566.0113225,0.0,43112.1950361,170.172302979,11728.3652788,8009.93141338,15827.7146303,MOp1
12,Primary motor area Layer 2/3,147114.032726,76353.4871933,70760.5455323,74633.1279403,1213.7301801,506.62907288,15046.0471084,28757.2191158,26957.2793081,MOp2/3
13,Primary motor area Layer 5,152748.250353,66338.3430608,86409.9072926,64076.3166795,1325.13507185,936.891309438,12757.3736655,47230.0340823,26422.4995447,MOp5
14,Primary motor area Layer 6a,153491.206249,62319.3034546,91171.9027939,59918.7363747,1832.20318581,568.363894127,8505.34312349,54758.0949324,27908.4647381,MOp6a
15,Primary motor area Layer 6b,148020.2058,57390.4583723,90629.7474275,52083.0682881,4891.30028064,416.089803555,6154.53695042,64104.7708138,20370.4396632,MOp6b
16,Secondary motor area,143569.821165,65792.2005096,77777.6206556,53895.1372042,11202.7891895,694.274115883,8852.55574112,31674.5620558,37250.5028587,MOs
17,Secondary motor area layer 1,86778.3921735,45156.7114298,41621.6807438,0.0,44875.2506532,281.460776569,6700.61372061,7147.839825,27773.2271982,MOs1
18,Secondary motor area layer 2/3,161857.343186,83371.788758,78485.5544276,78926.1314006,3674.79874407,770.858613282,10477.4522534,22996.4257891,45011.6763852,MOs2/3
19,Secondary motor area layer 5,153901.553412,63869.3268546,90032.2265577,60997.3447201,1945.64774596,926.334388574,9348.4699011,42503.6393531,38180.1173035,MOs5
20,Secondary motor area layer 6a,157583.683145,60545.4096499,97038.273495,58130.6731197,1797.77766803,616.958862166,7543.20707195,56979.5644229,32515.5020001,MOs6a
21,Secondary motor area layer 6b,153798.386064,55097.2204432,98701.1656206,43431.7919816,11140.7711029,524.657358781,5099.01370565,69935.1863712,23666.9655437,MOs6b
22,Somatosensory areas,162455.945815,77990.8245314,84465.1212833,70784.9379756,6756.18436337,449.702192328,9794.7068742,38758.1209958,35912.2934133,SS
23,Primary somatosensory area,162799.911547,77103.9190397,85695.9925075,70001.1827061,6640.44434527,462.291988317,10721.3446428,39384.5685874,35590.0792773,SSp
24,Primary somatosensory area layer 1,79493.8140686,41716.5075999,37777.3064687,0.0,41642.9833864,73.524213503,7103.57016614,4041.0038883,26632.7324143,SSp1
25,Primary somatosensory area layer 2/3,154406.694959,80731.686035,73675.008924,79397.7709912,1066.11668584,267.79835799,10582.4772935,21662.475707,41430.0559235,SSp2/3
26,Primary somatosensory area layer 4,169131.751075,80720.6129695,88411.138105,79261.4464586,1076.43431134,382.732199589,12646.1097614,43069.332835,32695.6955086,SSp4
27,Primary somatosensory area layer 5,155899.600685,69988.5909869,85911.0096977,68165.4306902,1147.74671991,675.413576726,13105.5333714,52014.8317171,20790.6446092,SSp5
28,Primary somatosensory area layer 6a,167327.663066,76710.7343088,90616.928757,74349.5692602,1799.31628607,561.848762478,11903.8424723,62724.0257076,15989.0605771,SSp6a
29,Primary somatosensory area layer 6b,155212.204185,60520.2425191,94691.9616663,58867.9835713,1176.60864463,475.650303149,6584.00156464,77706.2389986,10401.7211031,SSp6b
30,Primary somatosensory area nose,140706.633074,66579.2085199,74127.4245541,59187.3081535,7056.73704246,335.163323908,7223.61457978,31560.2741685,35343.5358058,SSp-n
31,Primary somatosensory area nose layer 1,66710.0791745,37775.9985766,28934.0805978,0.0,37719.0641402,56.934436438,3319.27764434,1224.09038342,24390.7125701,SSp-n1
32,Primary somatosensory area nose layer 2/3,147577.59297,75671.7401538,71905.8528166,74376.2749098,1104.66028558,190.804958418,7019.61399655,15550.6041111,49335.6347089,SSp-n2/3
33,Primary somatosensory area nose layer 4,169724.978409,75281.8347567,94443.1436522,73420.9768736,1510.79550907,350.062374052,8266.38518376,35387.0070051,50789.7514634,SSp-n4
34,Primary somatosensory area nose layer 5,145438.660878,62281.3409121,83157.319966,59815.0651211,1967.8646556,498.411135479,8126.39305375,36604.5741396,38426.3527727,SSp-n5
35,Primary somatosensory area nose layer 6a,154416.046366,72593.2155236,81822.8308427,68803.909313,3334.73492812,454.571282459,8440.4795727,57021.4216717,16360.9295983,SSp-n6a
36,Primary somatosensory area nose layer 6b,142613.642349,64337.1082434,78276.5341059,45105.0829602,18658.9412694,573.084013695,6337.63497498,70657.8878062,1281.01132473,SSp-n6b
37,Primary somatosensory area barrel field,172443.055261,81340.0965704,91102.9586904,74812.4105098,6139.54972982,388.136330718,8885.89371239,38191.439356,44025.625622,SSp-bfd
38,Primary somatosensory area barrel field layer 1,92998.6253569,46771.9451955,46226.6801613,0.0,46681.0676898,90.8775057025,4230.63792504,2761.1293222,39234.9129141,SSp-bfd1
39,Primary somatosensory area barrel field layer 2/3,176310.583924,84957.2968163,91353.287108,83457.8680524,1276.70462622,222.724137749,8604.69940349,23504.6409637,59243.9467408,SSp-bfd2/3
40,Primary somatosensory area barrel field layer 4,214014.018585,101665.152172,112348.866412,99592.4107856,1711.08929428,361.652092514,10727.5508573,45457.8415032,56163.4740519,SSp-bfd4
41,Primary somatosensory area barrel field layer 5,172042.144351,76972.6265189,95069.5178325,74420.260827,1940.72576286,611.639929039,10087.7858955,44521.9337568,40459.7981802,SSp-bfd5
42,Primary somatosensory area barrel field layer 6a,182664.902424,87722.0595359,94942.8428884,85817.3720021,1376.6874182,528.000115688,9322.60326963,57887.5078632,27732.7317556,SSp-bfd6a
43,Primary somatosensory area barrel field layer 6b,153640.143139,66267.0580194,87373.0851192,61920.791283,4001.44746894,344.81926742,6909.25173897,69509.3884444,10954.4449359,SSp-bfd6b
44,Primary somatosensory area lower limb,158333.679749,74596.5278609,83737.1518881,67631.7904265,6353.56433036,611.173104092,12341.4669189,42339.8290271,29055.8559421,SSp-ll
45,Primary somatosensory area lower limb layer 1,89218.9648932,48361.9254434,40857.0394499,0.0,48159.2471951,202.678248281,10623.2356135,7125.58812885,23108.2157076,SSp-ll1
46,Primary somatosensory area lower limb layer 2/3,163749.134644,85499.7946612,78249.3399824,83780.1114696,1300.40089958,419.282291972,14563.4888041,27035.5725042,36650.2786741,SSp-ll2/3
