id,atlas_id,name,acronym,st_level,ontology_id,hemisphere_id,weight,parent_structure_id,depth,graph_id,graph_order,structure_id_path,color_hex_triplet,neuro_name_structure_id,neuro_name_structure_id_path,failed,sphinx_id,structure_name_facet,failed_facet,safe_name
16997,,periventricular stratum of r1BM,r1BMp,10,12,3,8390,16996,8,17,1530,/15564/15565/16808/16809/16915/16967/16994/16996/16997/,D654E6,,,f,11447,3761647284,734881840,periventricular stratum of r1BM
6338,6337,rhombomere 7,r7,3,8,3,8000,5534,4,13,1466,/6070/5012/5460/5534/6338/,5CB1ED,,,f,6136,2095581301,734881840,rhombomere 7
5560,5559,ascending course of facial nerve (r6),7na,12,8,3,8000,6354,2,13,1689,/6070/6354/5560/,CCCCCC,,,f,6359,2608791140,734881840,ascending course of facial nerve (r6)
128013074,,dorsal lateral geniculate nucleus,DLG,,4,3,8190,128013070,5,8,254,/3999/128013010/128013014/128013018/128013070/128013074/,8C4685,,,f,2826,2481579255,734881840,dorsal lateral geniculate nucleus
4034,4028,"middle frontal gyrus, right, inferior bank of gyrus",MFG-i,,7,2,8490,4032,7,10,50,/4005/4006/4007/4008/4009/4028/4032/4034/,E8CD59,,,f,2881,855766815,734881840,middle frontal gyrus right inferior bank of gyrus
3859,3859,ventricular zone of PCom,PComv,9,2,3,8000,3858,8,4,773,/2000/2001/2002/2020/2035/2036/2037/3858/3859/,EDBD5C,,,f,2154,1281351610,734881840,ventricular zone of PCom
9130,,"superficial white layer of the superior colliculus, right",SuWh,,7,2,8490,9123,6,10,876,/4005/4006/9001/9101/9114/9123/9130/,098653,,,f,3707,2282939043,734881840,superficial white layer of the superior colliculus right
4623,4617,"suprachiasmatic nucleus, right, ventrolateral part",SCNv,,7,2,8490,4621,7,10,592,/4005/4006/4391/4540/4570/12908/4621/4623/,7FFF84,,,f,3423,1111384715,734881840,suprachiasmatic nucleus right ventrolateral part
5604,5603,ventral perifornical nucleus,VPeF,11,8,3,8000,6588,10,13,515,/6070/5012/5450/5866/8224/5034/5392/6868/6610/6588/5604/,B32378,,,f,5185,3014920185,734881840,ventral perifornical nucleus
484682524,,auditory radiation,ar,8,1,3,8690,896,4,1,1217,/997/1009/983/896/484682524/,CCCCCC,,,f,1218,601332939,734881840,auditory radiation
