Gene,EntrezID
Pzp,11287.0
Aanat,11298.0
Aatk,11302.0
Abca1,11303.0
Abca4,11304.0
Abca2,11305.0
Abcb7,11306.0
Abcg1,11307.0
Abi1,11308.0
Abl1,11350.0
Abl2,11352.0
Acadl,11363.0
Acadm,11364.0
Acadvl,11370.0
Acads,11409.0
Slc33a1,11416.0
Asic2,11418.0
Asic1,11419.0
Ace,11421.0
Ache,11423.0
Apoc4,11425.0
Macf1,11426.0
Aco1,11428.0
Aco2,11429.0
Acox1,11430.0
Acp1,11431.0
Acp2,11432.0
Acp5,11433.0
Acr,11434.0
Chrna1,11435.0
Chrna4,11438.0
Chrna6,11440.0
Chrna7,11441.0
Chrnb1,11443.0
Chrnb2,11444.0
Chrnd,11447.0
Chrne,11448.0
Chrng,11449.0
Adipoq,11450.0
Acrv1,11451.0
Acta1,11459.0
Actb,11461.0
Actc1,11464.0
Actg1,11465.0
Actg2,11468.0
Actl7a,11470.0
Actl7b,11471.0
Actn2,11472.0
Actn3,11474.0
Acta2,11475.0
Acvr1,11477.0
Acvr1b,11479.0
Acvr2a,11480.0
Acvr2b,11481.0
Acvrl1,11482.0
Aspa,11484.0
Ada,11486.0
Adam10,11487.0
Adam11,11488.0
Adam12,11489.0
Adam15,11490.0
Adam17,11491.0
Adam19,11492.0
Adam2,11495.0
Adam3,11497.0
Adam4,11498.0
Adam5,11499.0
Adam7,11500.0
Adam8,11501.0
Adam9,11502.0
Adamts1,11504.0
Adcy6,11512.0
Adcy7,11513.0
Adcy8,11514.0
Adcy9,11515.0
Adcyap1,11516.0
Adcyap1r1,11517.0
Add1,11518.0
Add2,11519.0
Plin2,11520.0
Adh1,11522.0
Adh7,11529.0
Adh5,11532.0
Adm,11535.0
Gpr182,11536.0
Cfd,11537.0
Adnp,11538.0
Adora1,11539.0
Adora2a,11540.0
Adora2b,11541.0
Adora3,11542.0
Adprh,11544.0
Parp1,11545.0
Parp2,11546.0
Adra1a,11549.0
Adra1d,11550.0
Adra2a,11551.0
Adra2b,11552.0
Adra2c,11553.0
Adrb1,11554.0
Adrb2,11555.0
Adsl,11564.0
Adssl1,11565.0
Adss,11566.0
Avil,11567.0
Aebp1,11568.0
Aebp2,11569.0
Crisp1,11571.0
Crisp3,11572.0
Afp,11576.0
Aga,11593.0
Acan,11595.0
Ager,11596.0
Angpt1,11600.0
Angpt2,11601.0
Angpt4,11602.0
Agrn,11603.0
Agrp,11604.0
Gla,11605.0
Agt,11606.0
Agtr1a,11607.0
Agtr1b,11608.0
Agtr2,11609.0
Agtrap,11610.0
Agxt,11611.0
Nr0b1,11614.0
Ahr,11622.0
Ahrr,11624.0
Ahsg,11625.0
Aicda,11628.0
Aif1,11629.0
Aim1,11630.0
Aip,11632.0
Aire,11634.0
Ak1,11636.0
Ak2,11637.0
Ak4,11639.0
Akap1,11640.0
Akap2,11641.0
Akap3,11642.0
Alpl,11647.0
Akp3,11648.0
Alppl2,11650.0
Akt1,11651.0
Akt2,11652.0
Alas1,11655.0
Alas2,11656.0
Alb,11657.0
Alcam,11658.0
Abcd1,11666.0
Aldh1a1,11668.0
Aldh2,11669.0
Aldh3a1,11670.0
Aldh3a2,11671.0
Aldoa,11674.0
Aldoc,11676.0
Akr1b3,11677.0
Alk,11682.0
Alox12,11684.0
Alox12e,11685.0
Alox12b,11686.0
Alox15,11687.0
Alox8,11688.0
Alox5ap,11690.0
Gfer,11692.0
Alx3,11694.0
Alx4,11695.0
Ambn,11698.0
Ambp,11699.0
Amd1,11702.0
Amd2,100041585.0
Amelx,11704.0
Amh,11705.0
Ampd3,11717.0
Mat1a,11720.0
Ang,11727.0
Ank,11732.0
Ank1,11733.0
Ank3,11735.0
Ankfy1,11736.0
Anp32a,11737.0
Slc25a4,11739.0
Slc25a5,11740.0
