,fc81_acr,synaptome_acr,synaptome_idx,ontology,region_id,x,y,z,SNR
0,FRP,[],[],7.0,184.0,2270.0,2770.0,4560.0,49.66375684
1,MOp,"['MOp1', 'MOp2/3', 'MOp5', 'MOp6a']","[[12, 123, 205], [30, 124, 206], [48, 125, 207], [66, 126, 208]]",16.0,985.0,4300.0,2360.0,3530.0,46.45213555
2,MOs,"['MOs1', 'MOs2/3', 'MOs5', 'MOs6a']","[[13, 131, 212], [31, 132, 213], [49, 133, 214], [67, 134, 215]]",22.0,993.0,3610.0,2110.0,4370.0,44.8424644
3,SSp-n,"['SSp-n1', 'SSp-n2/3', 'SSp-n4', 'SSp-n5', 'SSp-n6a']","[[150], [151], [152], [153], [154]]",42.0,353.0,5670.0,2460.0,2100.0,41.48430618
4,SSp-bfd,"['SSp-bfd1', 'SSp-bfd2/3', 'SSp-bfd4', 'SSp-bfd5', 'SSp-bfd6a']","[[239], [240], [241], [242], [243]]",49.0,329.0,6740.0,1750.0,2380.0,49.63691971
5,SSp-ll,[],[],56.0,337.0,5970.0,1230.0,3930.0,52.12172312
6,SSp-m,"['SSp-m1', 'SSp-m2/3', 'SSp-m4', 'SSp-m5', 'SSp-m6a']","[[140], [141], [142], [143], [144]]",63.0,345.0,4620.0,3010.0,2300.0,33.09032338
7,SSp-ul,"['SSp-ul1', 'SSp-ul2/3', 'SSp-ul4', 'SSp-ul5', 'SSp-ul6a']","[[160], [161], [162], [163], [164]]",70.0,369.0,5450.0,1740.0,3270.0,50.87331165
8,SSp-tr,"['SSp-tr1', 'SSp-tr2/3', 'SSp-tr4', 'SSp-tr5', 'SSp-tr6a']","[[249], [250], [251], [252], [253]]",77.0,361.0,6680.0,940.0,3900.0,56.50636718
9,SSp-un,[],[],84.0,182305689.0,5860.0,1720.0,2910.0,51.16020328
10,SSs,[],[],91.0,378.0,6110.0,3350.0,1540.0,34.38807792
11,GU,"['GU1', 'GU2/3', 'GU4', 'GU5', 'GU6a']","[[109], [110], [111], [112], [113]]",98.0,1057.0,4660.0,4470.0,1960.0,29.9224909
12,VISC,[],[],105.0,677.0,6300.0,4450.0,1260.0,27.21044429
13,AUDd,"['AUDd1', 'AUDd2/3', 'AUDd4', 'AUDd5', 'AUDd6a']","[[170, 275], [171, 301], [172, 322], [173, 343], [174, 369]]",113.0,1011.0,7540.0,2430.0,1470.0,32.58696004
14,AUDp,"['AUDp1', 'AUDp2/3', 'AUDp4', 'AUDp5', 'AUDp6a']","[[180, 276], [181, 302], [182, 323], [183, 344], [184, 370]]",120.0,1002.0,7930.0,2820.0,1180.0,27.75179557
15,AUDpo,[],[],127.0,1027.0,8420.0,2290.0,1460.0,29.9129417
16,AUDv,"['AUDv1', 'AUDv2/3', 'AUDv4', 'AUDv5', 'AUDv6a']","[[190, 277], [191, 303], [192, 324], [193, 345], [194, 371]]",134.0,1018.0,7800.0,3400.0,1050.0,29.04337508
17,VISal,"['VISal1', 'VISal2/3', 'VISal4', 'VISal5', 'VISal6a']","[[285], [311], [327], [353], [379]]",148.0,402.0,8260.0,1680.0,2000.0,46.66033672
18,VISam,"['VISam1', 'VISam2/3', 'VISam4', 'VISam5', 'VISam6a']","[[286], [312], [328], [354], [380]]",155.0,394.0,7660.0,720.0,4040.0,54.97034392
19,VISl,[],[],162.0,409.0,9090.0,1840.0,2110.0,39.04519234
20,VISp,"['VISp1', 'VISp2/3', 'VISp4', 'VISp5', 'VISp6a']","[[287], [313], [329], [355], [381]]",169.0,385.0,9070.0,1200.0,3120.0,47.42045713
21,VISpl,[],[],176.0,425.0,10000.0,2200.0,2440.0,43.78604358
22,VISli,[],[],,,,,,32.16880184
