,acronym,synaptome_idx,ontology,region_id,major_region
0,VCO,[726],829,101,MY
1,BLAp,"[559, 573]",487,311,CTXsp
2,BLAa,[557],486,303,CTXsp
3,COApl3,[419],371,232,OLF
4,ORBm1,[15],235,484,Isocortex
5,PA,"[571, 579]",492,780,CTXsp
6,BLAv,[561],488,451,CTXsp
7,VISal2/3,[311],150,905,Isocortex
8,LGv,[649],620,178,TH
9,CA1sp,"[462, 514]",394,407,HPF
10,SSp-tr5,[252],81,1111,Isocortex
11,CA3sp,"[480, 525]",405,495,HPF
12,AUDp5,"[183, 344]",124,847,Isocortex
13,LHA,[665],702,194,HY
14,SSp-n1,[150],43,558,Isocortex
15,SNc,[696],766,374,MB
16,GU2/3,[110],100,180,Isocortex
17,SUBd-sp,[547],472,845,HPF
18,ENTl2/3,"[456, 502]",431,999,HPF
19,PTLp2/3,[306],289,241,Isocortex
20,LT,[684],761,66,MB
21,AIv2/3,[101],262,694,Isocortex
22,SSp-m4,[142],66,950,Isocortex
23,TEa1,"[258, 284]",295,97,Isocortex
24,TR1,[446],385,1140,OLF
25,BMAp,"[563, 575]",491,334,CTXsp
26,LSr,[583],510,258,STR
27,OT3,[601],506,473,STR
28,TTd3,[401],337,1050,OLF
29,PL1,[17],209,171,Isocortex
30,TEa2/3,"[259, 310]",296,1127,Isocortex
31,ARH,[661],646,223,HY
32,ECT5,"[346, 453]",310,988,Isocortex
33,LD,[619],598,155,TH
34,"CUL4, 5mo","[752, 754]",926,10722,Isocortex
35,PFLgr,"[764, 766]",974,10687,CBX
36,CENT3mo,"[744, 746]",913,10713,CBX
37,COApm1,"[421, 441]",375,240,OLF
38,CA3slu,[476],403,479,HPF
39,PSTN,[668],705,364,HY
40,SI,[615],535,342,PAL
41,PERI6a,[373],302,335,Isocortex
42,SSp-m5,[143],67,974,Isocortex
43,PRP,[714],882,169,MY
44,RSPd6a,"[225, 376]",278,274,Isocortex
45,TEa4,[326],297,234,Isocortex
46,CNlam,[702],826,112,MY
47,SSp-bfd2/3,[240],51,201,Isocortex
48,ORBvl6a,[70],245,608,Isocortex
49,DMH,[663],652,830,HY
50,ECT1,"[199, 278]",308,836,Isocortex
51,AUDd6a,"[174, 369]",118,156,Isocortex
52,SSp-ul1,[160],71,450,Isocortex
53,VM,[641],567,685,TH
54,PIR2,"[393, 411, 435]",353,284,OLF
55,DG-sg,"[494, 496, 539, 541, 543]",410,632,HPF
56,PERI2/3,"[219, 305]",306,888,Isocortex
57,VISal6a,[379],153,601,Isocortex
58,TTd2,[399],336,1042,OLF
59,LGd,[621],583,170,TH
60,ORBm2/3,[33],237,582,Isocortex
61,ENTl4,[504],435,92,HPF
62,TEa5,"[260, 352]",298,289,Isocortex
63,AId2/3,"[28, 93]",250,328,Isocortex
64,ORBvl2/3,[34],243,288,Isocortex
65,VISam1,[286],156,281,Isocortex
66,GU5,[112],102,187,Isocortex
67,PAA2,[429],381,416,OLF
68,AIv6a,[103],264,675,Isocortex
69,SSp-ul2/3,[161],72,854,Isocortex
70,GU4,[111],101,148,Isocortex
71,MOp5,"[48, 125, 207]",19,648,Isocortex
